per Act; per Rep; id, p1x, p1y, p1z, p2x, p2y, p2z, growth_rate,directions
0.00

acts
1,67.75,5.04,0.51,65.74,7.44,0.51,1.64
2,37.21,15.56,0.5,31.64,11.94,0.5,1.64
3,76.63,54.83,0.49,81.77,51.6,0.49,1.64
4,68.97,8.31,0.51,71.3,3.11,0.48,1.64
5,71.48,54.47,0.51,74.11,53.29,0.52,1.64
6,36.57,18.34,0.51,40.84,21.9,0.5,1.64
7,71.25,53.5,0.51,74.23,51.1,0.5,1.64
8,67.81,2.52,0.51,63.35,4.06,0.49,1.64
9,66.06,10.27,0.51,68.76,5.26,0.5,1.64
10,69.72,51.96,0.5,64.91,53.57,0.5,1.64
11,67.35,1.64,0.49,70,0.45,0.52,1.64
12,81.06,54.73,0.49,74.16,56.48,0.5,1.64
13,38.09,21.09,0.51,41.26,24.02,0.5,1.64
14,34.46,12.6,0.5,36.78,14.09,0.5,1.64
15,78.99,52.17,0.5,72.71,54.99,0.49,1.64
16,71.69,4.88,0.51,70.48,8.07,0.5,1.64
17,63.34,9.13,0.5,66.58,4.54,0.49,1.64
18,74.25,52.33,0.48,80.4,49.34,0.49,1.64
19,39.74,24.15,0.51,38.41,22.73,0.5,1.64
20,36.93,16.68,0.51,34.49,14.96,0.49,1.64
21,63.86,5.98,0.51,65.5,4.35,0.51,1.64
22,71,0.47,0.51,77.46,0.49,0.5,1.64
23,71.6,56.55,0.5,75.66,54.73,0.52,1.64
24,81.57,52.96,0.51,79.67,54.08,0.51,1.64
25,66.45,52.01,0.5,61.23,53.34,0.5,1.64
26,68.05,8.65,0.49,65.46,13.97,0.5,1.64
27,65.11,9.96,0.49,64.07,15.89,0.5,1.64
28,78.83,51.2,0.51,83.43,50.26,0.5,1.64
29,36.22,17.42,0.5,32.09,14.44,0.5,1.64
30,70.72,52.67,0.49,64.9,54.62,0.5,1.64
31,37.3,20.51,0.5,33.88,16.97,0.5,1.64
32,34.19,11.65,0.5,29.73,7.46,0.5,1.64
33,64.17,9.69,0.5,62.09,12.17,0.5,1.64
34,66.54,1.1,0.51,61.68,2.82,0.5,1.64
35,37.27,17.61,0.5,41.17,20.8,0.5,1.64
36,71.25,55.55,0.5,68.02,56.88,0.5,1.64
37,70.67,51.68,0.51,72.94,50.88,0.5,1.64
38,68.23,4.18,0.51,71.38,1.85,0.52,1.64
39,70.5,54.55,0.51,67.05,56.26,0.5,1.64
40,68.73,2.18,0.51,70.48,1.3,0.48,1.64
41,63.15,6.66,0.51,60.2,9.43,0.5,1.64
42,82.44,52.51,0.51,85.93,50.5,0.5,1.64
43,72.08,3.94,0.51,72.74,1.58,0.5,1.64
44,40.39,24.91,0.51,43.19,28.1,0.5,1.64

4.00

acts
0,63.22,23.27,0.5,66.29,21.56,0.5,0.27
1,68.69,4.72,0.48,64.55,8.42,0.51,1.64
2,34.61,13.82,0.51,39.19,15.97,0.49,1.64
3,79.07,53.29,0.5,76.15,56,0.49,1.64
4,69.87,7.73,0.5,68.8,9.97,0.5,1.64
5,71.03,54.99,0.52,75.78,52.77,0.52,1.64
6,39.51,20.56,0.5,35.09,18.09,0.48,1.64
7,70.78,53.52,0.52,75.77,49.33,0.51,1.64
8,63.18,3.56,0.51,67.23,2.42,0.47,1.64
9,67.64,6.97,0.5,65.69,11.88,0.5,1.64
10,67.23,53.21,0.51,69.92,51.49,0.49,1.64
11,64.6,2.04,0.5,69.73,0.9,0.48,1.64
12,78.66,56.3,0.49,83.23,54.89,0.49,1.64
13,39.48,22.23,0.51,37.55,20.59,0.5,1.64
14,33.85,12.32,0.5,38.36,14.5,0.5,1.64
15,76.34,53.79,0.52,81.51,50.68,0.48,1.64
16,72.45,4.96,0.51,69.78,10.23,0.5,1.64
17,64.03,7.46,0.48,61.55,11,0.5,1.64
18,76.84,51.2,0.49,72.76,53.12,0.48,1.64
19,40.49,24.42,0.5,37.7,22,0.51,1.64
20,38.04,16.49,0.52,33.19,14.23,0.49,1.64
21,63.4,5.82,0.49,67.09,3.5,0.51,1.64
22,73.68,0.45,0.49,70.58,0.43,0.52,1.64
23,72.67,56.39,0.51,69.63,57.66,0.51,1.64
24,81.78,52.97,0.49,78.33,55.38,0.5,1.64
25,64.6,52.47,0.51,67.96,51.39,0.5,1.64
26,66.69,12.71,0.51,68.7,7.45,0.48,1.64
27,64.21,12.67,0.51,65.96,8.55,0.49,1.64
28,79.81,50.56,0.51,77.78,50.95,0.51,1.64
29,32.95,15.2,0.51,36.6,17.83,0.52,1.64
30,67.47,54.34,0.51,71.76,51.43,0.49,1.64
31,35.77,19.58,0.51,36.9,21.44,0.49,1.64
32,31.57,9.41,0.5,35.98,12.26,0.5,1.64
33,64.54,9.39,0.49,60.81,13.71,0.5,1.64
34,63.8,1.21,0.5,67.41,0.44,0.52,1.64
35,40.02,19.71,0.51,37.36,17.24,0.48,1.64
36,71.06,55.98,0.52,65.44,58.2,0.49,1.64
37,70.67,50.86,0.51,74.73,48.91,0.49,1.64
38,67.99,3.98,0.53,74.05,1.38,0.53,1.64
39,70.27,54.36,0.49,64.56,57.56,0.5,1.64
40,68.14,2.88,0.52,71.56,1.39,0.47,1.64
41,63.31,6.8,0.51,58.12,11.18,0.5,1.64
42,82.1,54.23,0.51,85.94,48.64,0.49,1.64
43,73.21,5.65,0.5,75.05,1.51,0.48,1.64
44,39.45,24.83,0.5,44.61,29.59,0.5,1.64
45,77.78,56.74,0.51,72.33,57.59,0.5,1.64
46,75.39,54.02,0.48,71.97,55.62,0.48,1.64
47,76.55,50.25,0.5,81.65,48.53,0.49,1.64
48,33.73,13.4,0.5,29.99,10.97,0.5,1.64
49,74.66,0.49,0.49,80.57,0.5,0.5,1.64
50,80.01,53.02,0.51,83.62,50.3,0.5,1.64
51,64.58,13.58,0.5,63.6,17.45,0.5,1.64
52,66.57,53.93,0.5,63.44,55.27,0.5,1.64
53,31.27,8.48,0.51,28.58,6.5,0.5,1.64
54,69.47,6.84,0.51,73.05,2.84,0.48,1.64
55,68.5,6.48,0.51,70.12,4.46,0.51,1.64
56,65.74,12.96,0.5,65.16,15.38,0.5,1.64
57,62.33,23.7,0.51,59.13,25.14,0.5,1.64
58,40.02,21.39,0.51,42.14,22.83,0.5,1.64
59,64.8,6.87,0.52,67.23,4.56,0.48,1.64
60,63.65,52.73,0.51,59.84,53.68,0.5,1.64
61,66.29,52.96,0.5,62.79,54.37,0.5,1.64
62,32.25,14.52,0.5,30.12,13.34,0.5,1.64
63,63.61,2.18,0.51,60.39,3.19,0.5,1.64
64,40.76,20.34,0.5,43.25,22.41,0.5,1.64
65,34.81,19.36,0.51,32.17,15.79,0.49,1.64
66,62.4,4.14,0.51,60.41,4.6,0.49,1.64
67,80.55,49.93,0.51,84.59,48.87,0.51,1.64
68,40.23,22.88,0.51,42.71,25.06,0.5,1.64
69,73.6,56.01,0.51,76.02,54.79,0.51,1.64

4.50

acts
0,63.7,23.02,0.5,67.09,21.11,0.5,0.27
1,65.82,6.96,0.53,70.33,4.22,0.53,1.64
2,38.37,15.08,0.5,34.41,13.32,0.52,1.64
